file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\pedri\Documents\LABMining\repos\litho-editor-core\src\main\java\com\facebook\litho\editor\instances\StringEditorInstance.java,com.facebook.litho.editor.instances.StringEditorInstance$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\main\java\com\facebook\litho\widget\NestedTreeComponentSpec.java,com.facebook.litho.widget.NestedTreeComponentSpec,class,10,10,0,10,6,1,0,7,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,22,2,0,4,0,0,3,0,2,0,2,1,0,2,0,17,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-editor-core\src\main\java\com\facebook\litho\editor\model\EditorValue.java,com.facebook.litho.editor.model.EditorValue$Anonymous2,anonymous,7,7,0,7,6,1,0,7,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\perfboost\LithoPerfBoosterFactory.java,com.facebook.litho.perfboost.LithoPerfBoosterFactory,class,2,5,3,2,3,1,0,1,1,0.5,0.0,0.0,2,0,1,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,11,2,0,1,0,0,0,0,1,0,1,1,0,0,0,11,1025,0
C:\Users\pedri\Documents\LABMining\repos\litho-it-powermock\src\test\java\com\facebook\litho\SpecGeneratedComponentLifecycleTest.java,com.facebook.litho.SpecGeneratedComponentLifecycleTest,class,29,33,4,29,29,7,0,54,41,0.8627002,0.74285716,0.74285716,23,2,14,8,0,1,15,0,0,0,19,4,1,18,0,0,6,0,7,287,7,2,0,2,0,16,11,54,8,55,1,2,4,0,98,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\ComponentsSystrace.java,com.facebook.litho.ComponentsSystrace$ArgsBuilder,interface,1,1,0,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-testing\src\main\java\com\facebook\litho\testing\testrunner\LithoTestRunConfiguration.java,com.facebook.litho.testing.testrunner.LithoTestRunConfiguration,interface,1,5,4,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\animations\sharedelements\SharedElementsFragmentActivity.java,com.facebook.samples.litho.java.animations.sharedelements.SharedElementsFragmentActivity$SecondFragment,innerclass,11,11,0,11,3,2,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,28,2,0,2,0,0,2,3,10,0,10,1,1,0,0,50,9,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\specmodels\model\ErrorEventHandlerGeneratorTest.java,com.facebook.litho.specmodels.model.ErrorEventHandlerGeneratorTest,class,17,17,0,17,4,1,0,24,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,0,1,1,0,1,1,0,5,39,0,1,0,0,0,6,3,13,0,14,1,0,2,0,36,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\main\java\com\facebook\litho\widget\RootComponentInterStagePropsSpec.java,com.facebook.litho.widget.RootComponentInterStagePropsSpec$A,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\utils\MapDiffUtilsTest.java,com.facebook.litho.utils.MapDiffUtilsTest,class,4,4,0,4,8,1,0,5,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,35,0,12,0,12,0,0,0,0,20,1,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\lifecycle\LifecycleFragmentActivity.java,com.facebook.samples.litho.java.lifecycle.LifecycleFragmentActivity,class,11,11,0,11,1,3,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,1,0,4,0,0,3,0,1,23,0,0,0,0,0,0,2,11,0,10,0,0,0,0,38,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\CommonProps.java,com.facebook.litho.CommonProps$OtherProps,innerclass,24,24,0,24,73,1,0,36,0,0.86062735,1.0,1.0,21,0,1,18,0,2,3,0,0,0,41,19,0,41,0,0,19,0,18,199,3,1,31,0,19,0,60,61,19,43,3,0,0,0,103,26,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\DynamicPropsExtension.java,com.facebook.litho.DynamicPropsExtension$DynamicPropsExtensionState,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,8,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\sections\specmodels\processor\GroupSectionSpecModelFactoryTest.java,com.facebook.litho.sections.specmodels.processor.GroupSectionSpecModelFactoryTest$TestTriggerEvent,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,8,0
C:\Users\pedri\Documents\LABMining\repos\litho-espresso\src\main\java\com\facebook\litho\testing\espresso\LithoViewMatchers.java,com.facebook.litho.testing.espresso.LithoViewMatchers,class,7,9,2,7,3,1,0,2,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,28,3,0,0,0,0,0,0,0,0,0,0,2,0,0,47,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\ComponentTree.java,com.facebook.litho.ComponentTree$NewLayoutStateReadyListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\triggers\CustomEvent.java,com.facebook.samples.litho.java.triggers.CustomEvent,class,1,2,1,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
